"Airline","Date_of_Journey","Source","Destination","Route","Dep_Time","Arrival_Time","Duration","Total_Stops","Additional_Info","Price"
"IndiGo","2019-01-01","Chennai","Mumbai","CHE --> HYD --> KOL --> MUM","21:00:00","04:15:00","7h 15m","2 stops","Business class",12630
"IndiGo","2019-01-01","Banglore","Delhi","BAN --> DEL","09:00:00","11:30:00","2h 30m","non-stop","No check-in baggage included",4224
"IndiGo","2019-01-01","Hyderabad","Chennai","HYD --> MUM --> CHE","11:45:00","18:30:00","6h 45m","1 stop","Business class",10233
"IndiGo","2019-01-01","Delhi","Kolkata","DEL --> HYD --> COC --> KOL","21:30:00","06:45:00","9h 15m","2 stops","No check-in baggage included",5902
"Air Asia","2019-01-01","Hyderabad","Banglore","HYD --> KOL --> BAN","08:45:00","13:00:00","4h 15m","1 stop","No check-in baggage included",8092
"Vistara Premium economy","2019-01-01","Banglore","Kolkata","BAN --> KOL","15:00:00","18:00:00","3h 0m","non-stop","1 Long layover",7036
"IndiGo","2019-01-01","Hyderabad","Delhi","HYD --> COC --> MUM --> DEL","16:45:00","02:30:00","9h 45m","2 stops","Red-eye flight",3868
"GoAir","2019-01-02","Cochin","Mumbai","COC --> BAN --> MUM","07:15:00","11:30:00","4h 15m","1 stop","No info",8624
"IndiGo","2019-01-02","Mumbai","Hyderabad","MUM --> KOL --> DEL --> HYD","19:15:00","01:15:00","6h 0m","2 stops","No info",8279
"Air India","2019-01-02","Hyderabad","Delhi","HYD --> DEL","12:15:00","14:15:00","2h 0m","non-stop","Change airports",5028
"Vistara","2019-01-02","Banglore","Kolkata","BAN --> KOL","20:15:00","22:30:00","2h 15m","non-stop","Business class",3469
"IndiGo","2019-01-02","Cochin","Banglore","COC --> BAN","14:00:00","17:15:00","3h 15m","non-stop","Change airports",4115
"Air India","2019-01-02","Chennai","Kolkata","CHE --> KOL","15:45:00","18:00:00","2h 15m","non-stop","1 Long layover",7309
"IndiGo","2019-01-03","Mumbai","Chennai","MUM --> DEL --> CHE","08:15:00","14:45:00","6h 30m","1 stop","Red-eye flight",13633
"IndiGo","2019-01-03","Mumbai","Kolkata","MUM --> KOL","14:00:00","15:15:00","1h 15m","non-stop","In-flight meal not included",6648
"SpiceJet","2019-01-03","Mumbai","Cochin","MUM --> COC","14:45:00","17:45:00","3h 0m","non-stop","Change airports",6765
"IndiGo","2019-01-03","Banglore","Delhi","BAN --> DEL","21:00:00","22:00:00","1h 0m","non-stop","Business class",4669
"Air India","2019-01-03","Mumbai","Banglore","MUM --> KOL --> HYD --> BAN","06:00:00","12:00:00","6h 0m","2 stops","No check-in baggage included",4256
"IndiGo","2019-01-03","Mumbai","Hyderabad","MUM --> HYD","18:15:00","20:30:00","2h 15m","non-stop","Red-eye flight",12669
"SpiceJet","2019-01-03","Chennai","Banglore","CHE --> MUM --> BAN","17:15:00","22:15:00","5h 0m","1 stop","No check-in baggage included",8331
"IndiGo","2019-01-03","Mumbai","Delhi","MUM --> COC --> CHE --> DEL","05:00:00","11:15:00","6h 15m","2 stops","1 Long layover",7110
"IndiGo","2019-01-03","Chennai","Mumbai","CHE --> HYD --> COC --> MUM","16:30:00","22:30:00","6h 0m","2 stops","1 Long layover",12009
"Multiple carriers","2019-01-03","Hyderabad","Delhi","HYD --> BAN --> DEL","09:15:00","15:45:00","6h 30m","1 stop","Change airports",14047
"IndiGo","2019-01-04","Hyderabad","Mumbai","HYD --> KOL --> CHE --> MUM","11:00:00","18:30:00","7h 30m","2 stops","No check-in baggage included",13830
"IndiGo","2019-01-04","Mumbai","Banglore","MUM --> COC --> KOL --> BAN","09:00:00","18:15:00","9h 15m","2 stops","No check-in baggage included",7130
"Air India","2019-01-04","Chennai","Kolkata","CHE --> MUM --> KOL","12:00:00","17:45:00","5h 45m","1 stop","In-flight meal not included",3852
"IndiGo","2019-01-04","Mumbai","Delhi","MUM --> DEL","06:30:00","08:45:00","2h 15m","non-stop","No info",6901
"IndiGo","2019-01-04","Hyderabad","Delhi","HYD --> KOL --> DEL","06:45:00","12:45:00","6h 0m","1 stop","1 Long layover",14210
"Jet Airways","2019-01-04","Banglore","Hyderabad","BAN --> DEL --> HYD","10:15:00","15:30:00","5h 15m","1 stop","Business class",9534
"Air India","2019-01-04","Banglore","Chennai","BAN --> CHE","20:45:00","22:00:00","1h 15m","non-stop","Business class",12478
"IndiGo","2019-01-04","Hyderabad","Banglore","HYD --> CHE --> MUM --> BAN","13:45:00","22:45:00","9h 0m","2 stops","In-flight meal not included",4223
"GoAir","2019-01-05","Mumbai","Cochin","MUM --> BAN --> CHE --> COC","07:15:00","14:30:00","7h 15m","2 stops","Business class",12083
"Vistara Premium economy","2019-01-05","Cochin","Hyderabad","COC --> MUM --> HYD","17:30:00","20:45:00","3h 15m","1 stop","No check-in baggage included",14072
"IndiGo","2019-01-05","Mumbai","Banglore","MUM --> COC --> DEL --> BAN","10:00:00","17:30:00","7h 30m","2 stops","In-flight meal not included",14250
"Jet Airways Business","2019-01-05","Kolkata","Mumbai","KOL --> HYD --> BAN --> MUM","05:45:00","14:45:00","9h 0m","2 stops","In-flight meal not included",3581
"Jet Airways","2019-01-05","Chennai","Mumbai","CHE --> BAN --> HYD --> MUM","09:15:00","17:15:00","8h 0m","2 stops","In-flight meal not included",5308
"Vistara","2019-01-05","Chennai","Kolkata","CHE --> MUM --> KOL","15:45:00","21:30:00","5h 45m","1 stop","Business class",14078
"GoAir","2019-01-05","Chennai","Banglore","CHE --> MUM --> KOL --> BAN","15:15:00","23:45:00","8h 30m","2 stops","No info",13433
"IndiGo","2019-01-05","Chennai","Hyderabad","CHE --> KOL --> COC --> HYD","15:30:00","22:00:00","6h 30m","2 stops","No check-in baggage included",9812
"IndiGo","2019-01-06","Hyderabad","Mumbai","HYD --> BAN --> MUM","20:30:00","01:00:00","4h 30m","1 stop","No check-in baggage included",6464
"Vistara","2019-01-06","Delhi","Kolkata","DEL --> COC --> BAN --> KOL","18:30:00","01:30:00","7h 0m","2 stops","Business class",11805
"SpiceJet","2019-01-06","Delhi","Hyderabad","DEL --> HYD","11:45:00","14:00:00","2h 15m","non-stop","Change airports",5929
"IndiGo","2019-01-06","Chennai","Banglore","CHE --> MUM --> DEL --> BAN","05:45:00","12:00:00","6h 15m","2 stops","No info",13387
"SpiceJet","2019-01-06","Mumbai","Delhi","MUM --> DEL","19:00:00","21:15:00","2h 15m","non-stop","Business class",3363
"Akasa Air","2019-01-07","Kolkata","Hyderabad","KOL --> MUM --> HYD","16:15:00","22:30:00","6h 15m","1 stop","No check-in baggage included",7217
"SpiceJet","2019-01-07","Cochin","Kolkata","COC --> MUM --> KOL","09:45:00","13:15:00","3h 30m","1 stop","No info",7672
"Air India","2019-01-07","Delhi","Banglore","DEL --> COC --> HYD --> BAN","15:30:00","01:15:00","9h 45m","2 stops","No check-in baggage included",12041
"GoAir","2019-01-07","Kolkata","Chennai","KOL --> CHE","07:45:00","10:15:00","2h 30m","non-stop","In-flight meal not included",8487
"IndiGo","2019-01-07","Hyderabad","Chennai","HYD --> KOL --> DEL --> CHE","12:15:00","18:15:00","6h 0m","2 stops","Change airports",13830
"Vistara","2019-01-07","Delhi","Mumbai","DEL --> CHE --> MUM","06:15:00","10:00:00","3h 45m","1 stop","In-flight meal not included",11723
"IndiGo","2019-01-07","Banglore","Delhi","BAN --> DEL","15:00:00","17:00:00","2h 0m","non-stop","Red-eye flight",3348
"Air Asia","2019-01-07","Chennai","Hyderabad","CHE --> MUM --> HYD","14:45:00","20:30:00","5h 45m","1 stop","1 Long layover",10622
"GoAir","2019-01-07","Chennai","Mumbai","CHE --> HYD --> COC --> MUM","20:00:00","05:15:00","9h 15m","2 stops","Business class",13210
"Vistara","2019-01-07","Hyderabad","Banglore","HYD --> BAN","18:00:00","20:30:00","2h 30m","non-stop","In-flight meal not included",7896
"Jet Airways","2019-01-08","Chennai","Mumbai","CHE --> DEL --> MUM","14:00:00","18:30:00","4h 30m","1 stop","Business class",3045
"Air India","2019-01-08","Banglore","Chennai","BAN --> DEL --> COC --> CHE","21:15:00","06:45:00","9h 30m","2 stops","1 Long layover",8749
"Jet Airways","2019-01-08","Mumbai","Banglore","MUM --> BAN","16:00:00","18:00:00","2h 0m","non-stop","Red-eye flight",10185
"Vistara Premium economy","2019-01-08","Mumbai","Chennai","MUM --> CHE","08:15:00","11:30:00","3h 15m","non-stop","1 Long layover",11198
"Air Asia","2019-01-08","Delhi","Banglore","DEL --> BAN","06:15:00","09:15:00","3h 0m","non-stop","Red-eye flight",5955
"Air Asia","2019-01-08","Banglore","Mumbai","BAN --> DEL --> MUM","12:00:00","15:15:00","3h 15m","1 stop","No check-in baggage included",10555
"Air Asia","2019-01-08","Hyderabad","Mumbai","HYD --> DEL --> MUM","18:45:00","22:00:00","3h 15m","1 stop","No check-in baggage included",4286
"SpiceJet","2019-01-08","Cochin","Delhi","COC --> BAN --> DEL","06:30:00","09:45:00","3h 15m","1 stop","No info",3623
"SpiceJet","2019-01-09","Mumbai","Delhi","MUM --> CHE --> DEL","07:30:00","11:45:00","4h 15m","1 stop","Red-eye flight",10199
"Air India","2019-01-09","Kolkata","Banglore","KOL --> CHE --> DEL --> BAN","16:00:00","00:00:00","8h 0m","2 stops","No check-in baggage included",8249
"IndiGo","2019-01-09","Delhi","Mumbai","DEL --> CHE --> MUM","19:45:00","23:45:00","4h 0m","1 stop","1 Long layover",13692
"SpiceJet","2019-01-09","Delhi","Banglore","DEL --> COC --> MUM --> BAN","10:15:00","19:15:00","9h 0m","2 stops","Business class",12445
"Vistara","2019-01-09","Kolkata","Mumbai","KOL --> CHE --> MUM","08:30:00","14:30:00","6h 0m","1 stop","No info",5290
"IndiGo","2019-01-10","Cochin","Banglore","COC --> MUM --> BAN","19:00:00","00:30:00","5h 30m","1 stop","In-flight meal not included",9454
"Air India","2019-01-10","Chennai","Mumbai","CHE --> MUM","05:15:00","07:30:00","2h 15m","non-stop","Change airports",6984
"IndiGo","2019-01-10","Banglore","Delhi","BAN --> DEL","14:00:00","16:00:00","2h 0m","non-stop","1 Long layover",8208
"Air India","2019-01-10","Banglore","Chennai","BAN --> HYD --> CHE","13:00:00","19:45:00","6h 45m","1 stop","1 Long layover",4414
"IndiGo","2019-01-10","Mumbai","Kolkata","MUM --> HYD --> CHE --> KOL","10:30:00","19:45:00","9h 15m","2 stops","1 Long layover",5340
"Vistara Premium economy","2019-01-10","Delhi","Mumbai","DEL --> MUM","21:45:00","23:15:00","1h 30m","non-stop","Change airports",9057
"IndiGo","2019-01-11","Chennai","Banglore","CHE --> HYD --> DEL --> BAN","21:15:00","05:00:00","7h 45m","2 stops","Change airports",11382
"GoAir","2019-01-11","Hyderabad","Mumbai","HYD --> MUM","11:45:00","14:00:00","2h 15m","non-stop","Red-eye flight",6887
"IndiGo","2019-01-11","Mumbai","Chennai","MUM --> CHE","09:00:00","12:30:00","3h 30m","non-stop","No check-in baggage included",13349
"GoAir","2019-01-11","Hyderabad","Banglore","HYD --> DEL --> COC --> BAN","11:00:00","17:30:00","6h 30m","2 stops","Red-eye flight",9665
"GoAir","2019-01-11","Banglore","Mumbai","BAN --> KOL --> CHE --> MUM","14:15:00","20:15:00","6h 0m","2 stops","Red-eye flight",7858
"SpiceJet","2019-01-11","Mumbai","Banglore","MUM --> DEL --> HYD --> BAN","15:00:00","00:45:00","9h 45m","2 stops","1 Long layover",10100
"Air India","2019-01-12","Banglore","Mumbai","BAN --> MUM","16:15:00","18:30:00","2h 15m","non-stop","1 Long layover",7006
"IndiGo","2019-01-12","Mumbai","Delhi","MUM --> DEL","07:30:00","10:45:00","3h 15m","non-stop","Business class",3083
"IndiGo","2019-01-12","Cochin","Delhi","COC --> MUM --> DEL","15:30:00","22:00:00","6h 30m","1 stop","1 Long layover",9283
"GoAir","2019-01-12","Delhi","Chennai","DEL --> MUM --> CHE","15:00:00","21:00:00","6h 0m","1 stop","Business class",14254
"GoAir","2019-01-12","Delhi","Mumbai","DEL --> MUM","13:30:00","16:00:00","2h 30m","non-stop","Red-eye flight",9441
"Akasa Air","2019-01-12","Chennai","Cochin","CHE --> COC","16:30:00","17:30:00","1h 0m","non-stop","Business class",5197
"GoAir","2019-01-12","Banglore","Chennai","BAN --> MUM --> HYD --> CHE","08:15:00","14:45:00","6h 30m","2 stops","1 Long layover",9581
"SpiceJet","2019-01-13","Delhi","Hyderabad","DEL --> HYD","16:30:00","18:45:00","2h 15m","non-stop","No check-in baggage included",3577
"IndiGo","2019-01-13","Delhi","Banglore","DEL --> COC --> MUM --> BAN","16:45:00","02:15:00","9h 30m","2 stops","No check-in baggage included",5519
"IndiGo","2019-01-13","Cochin","Hyderabad","COC --> DEL --> HYD","05:45:00","09:00:00","3h 15m","1 stop","In-flight meal not included",6302
"IndiGo","2019-01-13","Banglore","Chennai","BAN --> HYD --> CHE","13:30:00","18:15:00","4h 45m","1 stop","Change airports",4148
"IndiGo","2019-01-13","Hyderabad","Delhi","HYD --> DEL","12:45:00","14:15:00","1h 30m","non-stop","Red-eye flight",7431
"Air India","2019-01-13","Mumbai","Delhi","MUM --> COC --> KOL --> DEL","09:30:00","16:15:00","6h 45m","2 stops","Red-eye flight",4217
"Vistara","2019-01-13","Kolkata","Mumbai","KOL --> BAN --> DEL --> MUM","10:30:00","17:45:00","7h 15m","2 stops","Change airports",3975
"IndiGo","2019-01-14","Banglore","Mumbai","BAN --> DEL --> HYD --> MUM","05:00:00","13:15:00","8h 15m","2 stops","Change airports",11527
"Vistara","2019-01-14","Banglore","Chennai","BAN --> KOL --> COC --> CHE","05:15:00","12:45:00","7h 30m","2 stops","1 Long layover",10939
